# type \t  id  \t   name  	   x  \t   \y   \t  kind \t ...
intersection	Source	Source	48.83057	-6.5958924	Source
intersection	I0	Windsor Rd/Woodbine Ave	-3.546236	-7.178569	Default
intersection	I1	Parnell Rd/Geneva St	-45.85119	-31.536673	Default
intersection	I2		38.2466	-47.640503	Default
intersection	I3		46.074856	29.523693	Default
intersection	I4		-51.666462	44.285538	Default
intersection	I5		-35.786293	-33.10232	Default
intersection	I6		-45.180195	-20.57712	Default
intersection	I7		-34.891636	-21.024448	Default
intersection	I8		-21.248112	-22.366434	Default
intersection	I9		-21.248112	-36.457287	Default
intersection	I10		-4.025958	-39.14126	Default
intersection	I11		9.170238	-42.71989	Default
intersection	I12		21.024448	-45.403862	Default
intersection	I13		20.800783	-33.325985	Default
intersection	I14		17.916632	-13.562822	Default
intersection	I15		35.607018	-8.75228	Default
intersection	I16		33.49341	-34.443478	Default
intersection	I17		40.70691	-33.99698	Default
intersection	I18		43.501175	-6.6715	Default
intersection	I19		29.523693	31.089344	Default
intersection	I20		19.458797	32.654995	Default
intersection	I21		8.27558	34.220642	Default
intersection	I22		-10.512224	37.12828	Default
intersection	I23		-24.155748	39.812252	Default
intersection	I24		-35.115303	42.048897	Default
intersection	I25		-38.69393	20.353455	Default
intersection	I26		-50.10081	21.471777	Default
intersection	I27		-28.40537	18.787804	Default
intersection	I28		-48.311497	6.4862657	Default
intersection	I29		-26.141706	3.8152761	Default
intersection	I30		-24.155748	-9.170238	Default
intersection	I31		16.274326	5.826067	Default
intersection	I32		-10.407234	29.132778	Default
intersection	I33		-17.441849	17.994637	Default
intersection	I34		-10.60264	17.408419	Default
intersection	I35		-6.303709	17.017607	Default
intersection	I36		4.8182235	16.687048	Default
intersection	I37		18.357256	15.348023	Default
intersection	I38		28.325554	14.008999	Default
intersection	I39		34.27678	7.462653	Default
intersection	I40		5.413346	6.4211893	Default
intersection	I41		-4.7037325	7.611434	Default
intersection	I42		-13.333006	6.867531	Default
intersection	I43		-12.621851	-8.220033	Default
intersection	I44		9.226619	-16.045685	Default
intersection	I45		-1.0151825	-17.131935	Default
intersection	I46		-2.5669699	-25.201233	Default
intersection	I47		-0.8600035	-32.494637	Default
intersection	I48		10.31287	-34.046425	Default
intersection	I49		19.933956	-25.511591	Default
intersection	I50		31.727547	-26.442663	Default

# type \t  id  \t  name \t lanes  \t  inter_id_from \t inter_id_to
road	R156	Source Rd	1	Source	I18
road	R8	Parnell Rd	2	I5	I1
road	R19	Parnell Rd	2	I9	I5
road	R128	Parnell Rd	2	I10	I9
road	R126	Parnell Rd	2	I11	I10
road	R124	Parnell Rd	2	I12	I11
road	R123	Parnell Rd	2	I2	I12
road	R9	Parnell Rd	2	I1	I5
road	R18	Parnell Rd	2	I5	I9
road	R129	Parnell Rd	2	I9	I10
road	R127	Parnell Rd	2	I10	I11
road	R125	Parnell Rd	2	I11	I12
road	R122	Parnell Rd	2	I12	I2
road	R7	Geneva St	1	I6	I1
road	R6	Geneva St	1	I1	I6
road	R22	Geneva St	1	I6	I28
road	R21	Geneva St	1	I28	I6
road	R31	Geneva St	1	I26	I28
road	R23	Geneva St	1	I28	I26
road	R25	Geneva St	1	I26	I4
road	R24	Geneva St	1	I4	I26
road	R10	Ross St	1	I5	I7
road	R11	Ross St	1	I7	I5
road	R12	Dapper Dr	1	I7	I6
road	R13	Dapper Dr	1	I6	I7
road	R14	Dapper Dr	1	I7	I8
road	R15	Dapper Dr	1	I8	I7
road	R32	Druncan Dr	1	I30	I8
road	R33	Druncan Dr	1	I8	I30
road	R16	Druncan Dr	1	I8	I9
road	R17	Druncan Dr	1	I9	I8
road	R34	Druncan Dr	1	I30	I29
road	R35	Druncan Dr	1	I29	I30
road	R36	Druncan Dr	1	I29	I27
road	R37	Druncan Dr	1	I27	I29
road	R43	Druncan Dr	1	I23	I27
road	R44	Druncan Dr	1	I27	I23
road	R138	Dorset St	1	I47	I10
road	R139	Dorset St	1	I10	I47
road	R140	Eaglewood Rd	1	I47	I48
road	R141	Eaglewood Rd	1	I48	I47
road	R136	Nickerson Ave	1	I46	I47
road	R137	Nickerson Ave	1	I47	I46
road	R111	Nickerson Ave	1	I46	I45
road	R112	Nickerson Ave	1	I45	I46
road	R113	Nickerson Ave	1	I45	I0
road	R114	Nickerson Ave	1	I0	I45
road	R90	Nickerson Ave	1	I0	I41
road	R91	Nickerson Ave	1	I41	I0
road	R94	Grammar Ave	1	I0	I40
road	R95	Grammar Ave	1	I40	I0
road	R93	Windsor Rd	1	I43	I0
road	R115	Windsor Rd	1	I0	I43
road	R88	Windsor Rd	1	I43	I30
road	R89	Windsor Rd	1	I30	I43
road	R86	Woodbine Ave	1	I43	I42
road	R152	Woodbine Ave	1	I42	I43
road	R109	Woodbine Ave	1	I46	I43
road	R110	Woodbine Ave	1	I43	I46
road	R81	Woodbine Ave	1	I42	I34
road	R83	Woodbine Ave	1	I34	I42
road	R20	Guy Rd	1	I29	I28
road	R153	Guy Rd	1	I28	I29
road	R0	Vine St	2	I3	I18
road	R1	Vine St	2	I18	I17
road	R2	Vine St	2	I17	I2
road	R3	Vine St	2	I2	I17
road	R4	Vine St	2	I17	I18
road	R5	Vine St	2	I18	I3
road	R154	Glenview Ave	1	I44	I14
road	R155	Glenview Ave	1	I14	I44
road	R133	Glenview Ave	1	I44	I45
road	R134	Glenview Ave	1	I15	I18
road	R104	Glenview Ave	1	I15	I14
road	R105	Glenview Ave	1	I14	I15
road	R135	Glenview Ave	1	I18	I15
road	R130	Glenview Ave	1	I45	I44
road	R144	Brisbane Glen	1	I48	I11
road	R145	Brisbane Glen	1	I11	I48
road	R142	Brisbane Glen	1	I48	I44
road	R143	Brisbane Glen	1	I44	I48
road	R106	Governor Simcoe Dr	1	I31	I14
road	R107	Governor Simcoe Dr	1	I14	I31
road	R84	Manor Rd	1	I42	I41
road	R85	Manor Rd	1	I41	I42
road	R96	Manor Rd	1	I41	I40
road	R97	Manor Rd	1	I40	I41
road	R100	Manor Rd	1	I31	I40
road	R101	Manor Rd	1	I40	I31
road	R98	Manor Rd	1	I39	I31
road	R99	Manor Rd	1	I31	I39
road	R121	Prince  Philip Dr	1	I13	I12
road	R116	Prince  Philip Dr	1	I12	I13
road	R150	Prince  Philip Dr	1	I49	I13
road	R151	Prince  Philip Dr	1	I13	I49
road	R148	Prince  Philip Dr	1	I50	I49
road	R149	Prince  Philip Dr	1	I49	I50
road	R146	Prince  Philip Dr	1	I16	I50
road	R147	Prince  Philip Dr	1	I50	I16
road	R117	Kennedy Ave	1	I13	I16
road	R118	Kennedy Ave	1	I16	I17
road	R119	Kennedy Ave	1	I17	I16
road	R120	Kennedy Ave	1	I16	I13
road	R26	Linwell Rd	2	I4	I24
road	R27	Linwell Rd	2	I24	I4
road	R41	Linwell Rd	2	I23	I24
road	R42	Linwell Rd	2	I24	I23
road	R55	Linwell Rd	2	I22	I23
road	R56	Linwell Rd	2	I23	I22
road	R59	Linwell Rd	2	I22	I21
road	R60	Linwell Rd	2	I21	I22
road	R73	Linwell Rd	2	I20	I21
road	R74	Linwell Rd	2	I21	I20
road	R75	Linwell Rd	2	I20	I19
road	R76	Linwell Rd	2	I19	I20
road	R79	Linwell Rd	2	I19	I3
road	R80	Linwell Rd	2	I3	I19
road	R28	Lora St	1	I24	I25
road	R40	Lora St	1	I25	I24
road	R52	W Lynn St	1	I32	I33
road	R47	W Lynn St	1	I33	I32
road	R57	E Lynn St	1	I32	I35
road	R58	E Lynn St	1	I35	I32
road	R53	Lynn St	1	I32	I22
road	R54	Lynn St	1	I22	I32
road	R63	Walker Ave	1	I36	I21
road	R64	Walker Ave	1	I21	I36
road	R71	Rodger St	1	I37	I20
road	R72	Rodger St	1	I20	I37
road	R77	Sharon St	1	I19	I38
road	R78	Sharon St	1	I38	I19
road	R29	Glen Park Rd	1	I25	I26
road	R30	Glen Park Rd	1	I26	I25
road	R38	Glen Park Rd	1	I25	I27
road	R39	Glen Park Rd	1	I27	I25
road	R45	Glen Park Rd	1	I27	I33
road	R46	Glen Park Rd	1	I33	I27
road	R48	Glen Park Rd	1	I33	I34
road	R49	Glen Park Rd	1	I34	I33
road	R50	Glen Park Rd	1	I34	I35
road	R51	Glen Park Rd	1	I35	I34
road	R61	Glen Park Rd	1	I35	I36
road	R62	Glen Park Rd	1	I36	I35
road	R65	Glen Park Rd	1	I39	I38
road	R66	Glen Park Rd	1	I38	I39
road	R67	Glen Park Rd	1	I38	I37
road	R68	Glen Park Rd	1	I37	I38
road	R69	Glen Park Rd	1	I37	I36
road	R70	Glen Park Rd	1	I36	I37
road	R102	Glen Park Rd	1	I39	I15
road	R103	Glen Park Rd	1	I15	I39

# type \t  from_road_id \t from_road_lane \t name \t to_road_id \t to_road_lane
turn	R93	0	left	R114	0
turn	R93	0	right	R90	0
turn	R93	0	right	R94	0
turn	R91	0	forward	R114	0
turn	R91	0	right	R94	0
turn	R91	0	left	R115	0
turn	R95	0	right	R114	0
turn	R95	0	left	R90	0
turn	R95	0	left	R115	0
turn	R113	0	forward	R90	0
turn	R113	0	left	R94	0
turn	R113	0	right	R115	0
turn	R8	0	left	R6	0
turn	R7	0	right merge to lane 0	R9	0
turn	R7	0	right merge to lane 1	R9	1
turn	R8	1	left	R6	0
turn	R2	1	left merge to lane 0	R123	0
turn	R2	1	left merge to lane 1	R123	1
turn	R2	0	left merge to lane 0	R123	0
turn	R2	0	left merge to lane 1	R123	1
turn	R122	1	right merge to lane 0	R3	0
